Site,Max_MAE,Max_MSE,Max_RMSE,Min_MAE,Min_MSE,Min_RMSE
기상청,1.969,6.74,2.596,1.479,4.625,2.151
더웨더네트워크,2.506,8.988,2.998,2.759,12.711,3.565
메테오블루,1.505,3.72,1.929,1.161,2.796,1.672
아큐웨더,1.646,5.667,2.38,3.115,16.719,4.089
웨더뉴스,2.042,6.854,2.618,1.458,4.458,2.111
웨더채널,1.476,3.69,1.921,3.274,17.56,4.19
