Site,Total_MAE,Total_MSE,Total_RMSE
기상청,1.724,5.682,2.384
더웨더네트워크,2.633,10.849,3.294
메테오블루,1.333,3.258,1.805
아큐웨더,2.38,11.193,3.346
웨더뉴스,1.75,5.656,2.378
웨더채널,2.375,10.625,3.26
