Site,Measure_Date,Target_Date,Max_Temp,Min_Temp,Target_Max_x,Target_Min_x,Target_Max_y,Target_Min_y
더웨더네트워크,11월 14일,11월 20일,12,2,15,2,,
더웨더네트워크,11월 14일,11월 21일,9,1,13,1,,
더웨더네트워크,11월 15일,11월 16일,16,1,19,6,,
더웨더네트워크,11월 15일,11월 17일,5,-1,10,-1,,
더웨더네트워크,11월 15일,11월 18일,6,-1,7,-2,,
더웨더네트워크,11월 15일,11월 19일,6,1,9,-2,,
더웨더네트워크,11월 15일,11월 20일,12,1,15,2,,
더웨더네트워크,11월 15일,11월 21일,9,2,13,1,,
더웨더네트워크,11월 15일,11월 22일,10,5,15,5,,
더웨더네트워크,11월 16일,11월 17일,5,-2,10,-1,,
더웨더네트워크,11월 16일,11월 18일,5,-1,7,-2,,
더웨더네트워크,11월 16일,11월 19일,6,2,9,-2,,
더웨더네트워크,11월 16일,11월 20일,13,2,15,2,,
더웨더네트워크,11월 16일,11월 21일,9,0,13,1,,
더웨더네트워크,11월 16일,11월 22일,8,2,15,5,,
더웨더네트워크,11월 16일,11월 23일,12,7,14,7,,
더웨더네트워크,11월 17일,11월 18일,5,-1,7,-2,,
더웨더네트워크,11월 17일,11월 19일,6,2,9,-2,,
더웨더네트워크,11월 17일,11월 20일,13,1,15,2,,
더웨더네트워크,11월 17일,11월 21일,11,2,13,1,,
더웨더네트워크,11월 17일,11월 22일,13,5,15,5,,
더웨더네트워크,11월 17일,11월 23일,14,9,14,7,,
더웨더네트워크,11월 17일,11월 24일,13,1,17,10,,
더웨더네트워크,11월 18일,11월 19일,7,2,9,-2,,
더웨더네트워크,11월 18일,11월 20일,13,1,15,2,,
더웨더네트워크,11월 18일,11월 21일,12,2,13,1,,
더웨더네트워크,11월 18일,11월 22일,12,6,15,5,,
더웨더네트워크,11월 18일,11월 23일,13,9,14,7,,
더웨더네트워크,11월 18일,11월 24일,12,0,17,10,,
더웨더네트워크,11월 18일,11월 25일,6,2,10,5,,
더웨더네트워크,11월 19일,11월 20일,13,1,15,2,,
더웨더네트워크,11월 19일,11월 21일,11,4,13,1,,
더웨더네트워크,11월 19일,11월 22일,14,7,15,5,,
더웨더네트워크,11월 19일,11월 23일,14,9,14,7,,
더웨더네트워크,11월 19일,11월 24일,15,1,17,10,,
더웨더네트워크,11월 19일,11월 25일,5,0,10,5,,
더웨더네트워크,11월 19일,11월 26일,9,4,11,4,,
더웨더네트워크,11월 20일,11월 21일,11,4,13,1,,
더웨더네트워크,11월 20일,11월 22일,14,7,15,5,,
더웨더네트워크,11월 20일,11월 23일,14,9,14,7,,
더웨더네트워크,11월 20일,11월 24일,15,5,17,10,,
더웨더네트워크,11월 20일,11월 25일,6,-1,10,5,,
더웨더네트워크,11월 20일,11월 26일,6,2,11,4,,
더웨더네트워크,11월 20일,11월 27일,8,0,9,3,,
더웨더네트워크,11월 21일,11월 22일,13,6,15,5,,
더웨더네트워크,11월 21일,11월 23일,15,9,14,7,,
더웨더네트워크,11월 21일,11월 24일,16,5,17,10,,
더웨더네트워크,11월 21일,11월 25일,7,0,10,5,,
더웨더네트워크,11월 21일,11월 26일,8,3,11,4,,
더웨더네트워크,11월 21일,11월 27일,9,1,9,3,,
더웨더네트워크,11월 21일,11월 28일,5,1,7,-1,,
더웨더네트워크,11월 22일,11월 23일,15,9,14,7,,
더웨더네트워크,11월 22일,11월 24일,16,6,17,10,,
더웨더네트워크,11월 22일,11월 25일,9,1,10,5,,
더웨더네트워크,11월 22일,11월 26일,9,4,11,4,,
더웨더네트워크,11월 22일,11월 27일,8,-1,9,3,,
더웨더네트워크,11월 22일,11월 28일,7,3,7,-1,,
더웨더네트워크,11월 22일,11월 29일,12,5,9,0,,
더웨더네트워크,11월 23일,11월 24일,16,7,17,10,,
더웨더네트워크,11월 23일,11월 25일,8,1,10,5,,
더웨더네트워크,11월 23일,11월 26일,8,4,11,4,,
더웨더네트워크,11월 23일,11월 27일,9,-1,9,3,,
더웨더네트워크,11월 23일,11월 28일,6,1,7,-1,,
더웨더네트워크,11월 23일,11월 29일,12,3,9,0,,
더웨더네트워크,11월 23일,11월 30일,7,2,16,9,,
메테오블루,11월 12일,11월 12일,18,6,18,6,,
메테오블루,11월 12일,11월 13일,15,7,18,7,,
메테오블루,11월 12일,11월 14일,12,4,15,5,,
메테오블루,11월 12일,11월 15일,15,4,18,4,,
메테오블루,11월 12일,11월 16일,16,7,19,6,,
메테오블루,11월 12일,11월 17일,6,0,10,-1,,
메테오블루,11월 12일,11월 18일,3,-2,7,-2,,
메테오블루,11월 12일,11월 19일,10,0,9,-2,,
메테오블루,11월 13일,11월 13일,17,7,18,7,,
메테오블루,11월 13일,11월 14일,14,5,15,5,,
메테오블루,11월 13일,11월 15일,14,4,18,4,,
메테오블루,11월 13일,11월 16일,17,7,19,6,,
메테오블루,11월 13일,11월 17일,7,0,10,-1,,
메테오블루,11월 13일,11월 18일,6,-2,7,-2,,
메테오블루,11월 13일,11월 19일,11,-1,9,-2,,
메테오블루,11월 14일,11월 14일,15,5,15,5,,
메테오블루,11월 14일,11월 15일,15,4,18,4,,
메테오블루,11월 14일,11월 16일,16,6,19,6,,
메테오블루,11월 14일,11월 17일,8,1,10,-1,,
메테오블루,11월 14일,11월 18일,7,0,7,-2,,
메테오블루,11월 14일,11월 19일,8,-1,9,-2,,
메테오블루,11월 14일,11월 20일,13,3,15,2,,
메테오블루,11월 15일,11월 15일,17,4,18,4,,
메테오블루,11월 15일,11월 16일,18,5,19,6,,
메테오블루,11월 15일,11월 17일,7,1,10,-1,,
메테오블루,11월 15일,11월 18일,7,-1,7,-2,,
메테오블루,11월 15일,11월 19일,8,-1,9,-2,,
메테오블루,11월 15일,11월 20일,13,2,15,2,,
메테오블루,11월 15일,11월 21일,11,2,13,1,,
메테오블루,11월 16일,11월 16일,18,6,19,6,,
메테오블루,11월 16일,11월 17일,8,1,10,-1,,
메테오블루,11월 16일,11월 18일,6,-1,7,-2,,
메테오블루,11월 16일,11월 19일,8,-1,9,-2,,
메테오블루,11월 16일,11월 20일,13,2,15,2,,
메테오블루,11월 16일,11월 21일,12,3,13,1,,
메테오블루,11월 16일,11월 22일,10,3,15,5,,
메테오블루,11월 16일,11월 23일,12,4,14,7,,
메테오블루,11월 17일,11월 17일,9,0,10,-1,,
메테오블루,11월 17일,11월 18일,5,-1,7,-2,,
메테오블루,11월 17일,11월 19일,8,-1,9,-2,,
메테오블루,11월 17일,11월 20일,14,2,15,2,,
메테오블루,11월 17일,11월 21일,12,2,13,1,,
메테오블루,11월 17일,11월 22일,13,3,15,5,,
메테오블루,11월 17일,11월 23일,15,6,14,7,,
메테오블루,11월 17일,11월 24일,15,7,17,10,,
메테오블루,11월 18일,11월 18일,6,-2,7,-2,,
메테오블루,11월 18일,11월 19일,7,-1,9,-2,,
메테오블루,11월 18일,11월 20일,13,2,15,2,,
메테오블루,11월 18일,11월 21일,13,2,13,1,,
메테오블루,11월 18일,11월 22일,14,2,15,5,,
메테오블루,11월 18일,11월 23일,15,6,14,7,,
메테오블루,11월 18일,11월 24일,15,8,17,10,,
메테오블루,11월 18일,11월 25일,10,2,10,5,,
메테오블루,11월 19일,11월 19일,9,-1,9,-2,,
메테오블루,11월 19일,11월 20일,15,2,15,2,,
메테오블루,11월 19일,11월 21일,11,1,13,1,,
메테오블루,11월 19일,11월 22일,14,4,15,5,,
메테오블루,11월 19일,11월 23일,16,6,14,7,,
메테오블루,11월 19일,11월 24일,16,8,17,10,,
메테오블루,11월 19일,11월 25일,8,2,10,5,,
메테오블루,11월 19일,11월 26일,11,2,11,4,,
