Site,Measure_Date,Target_Date,Max_Temp,Min_Temp,Target_Max_x,Target_Min_x,Target_Max_y,Target_Min_y
웨더채널,11월 12일,11월 14일,14,0,15,5,,
웨더채널,11월 12일,11월 15일,16,3,18,4,,
웨더채널,11월 12일,11월 16일,17,1,19,6,,
웨더채널,11월 12일,11월 17일,6,-3,10,-1,,
웨더채널,11월 12일,11월 18일,6,-4,7,-2,,
웨더채널,11월 12일,11월 19일,9,2,9,-2,,
웨더채널,11월 13일,11월 14일,14,0,15,5,,
웨더채널,11월 13일,11월 15일,16,3,18,4,,
웨더채널,11월 13일,11월 16일,17,1,19,6,,
웨더채널,11월 13일,11월 17일,5,-4,10,-1,,
웨더채널,11월 13일,11월 18일,6,-3,7,-2,,
웨더채널,11월 13일,11월 19일,9,1,9,-2,,
웨더채널,11월 13일,11월 20일,13,2,15,2,,
웨더채널,11월 14일,11월 15일,16,3,18,4,,
웨더채널,11월 14일,11월 16일,17,1,19,6,,
웨더채널,11월 14일,11월 17일,6,-3,10,-1,,
웨더채널,11월 14일,11월 18일,7,-4,7,-2,,
웨더채널,11월 14일,11월 19일,8,0,9,-2,,
웨더채널,11월 14일,11월 20일,13,1,15,2,,
웨더채널,11월 14일,11월 21일,10,-2,13,1,,
웨더채널,11월 15일,11월 16일,18,1,19,6,,
웨더채널,11월 15일,11월 17일,6,-3,10,-1,,
웨더채널,11월 15일,11월 18일,7,-3,7,-2,,
웨더채널,11월 15일,11월 19일,8,-1,9,-2,,
웨더채널,11월 15일,11월 20일,13,0,15,2,,
웨더채널,11월 15일,11월 21일,11,-3,13,1,,
웨더채널,11월 15일,11월 22일,11,0,15,5,,
웨더채널,11월 16일,11월 17일,6,-3,10,-1,,
웨더채널,11월 16일,11월 18일,6,-5,7,-2,,
웨더채널,11월 16일,11월 19일,8,-1,9,-2,,
웨더채널,11월 16일,11월 20일,13,0,15,2,,
웨더채널,11월 16일,11월 21일,12,-2,13,1,,
웨더채널,11월 16일,11월 22일,11,0,15,5,,
웨더채널,11월 16일,11월 23일,14,5,14,7,,
웨더채널,11월 17일,11월 18일,6,-5,7,-2,,
웨더채널,11월 17일,11월 19일,8,-1,9,-2,,
웨더채널,11월 17일,11월 20일,14,-1,15,2,,
웨더채널,11월 17일,11월 21일,12,-2,13,1,,
웨더채널,11월 17일,11월 22일,13,2,15,5,,
웨더채널,11월 17일,11월 23일,15,6,14,7,,
웨더채널,11월 17일,11월 24일,13,0,17,10,,
웨더채널,11월 18일,11월 19일,8,-1,9,-2,,
웨더채널,11월 18일,11월 20일,14,-1,15,2,,
웨더채널,11월 18일,11월 21일,13,-1,13,1,,
웨더채널,11월 18일,11월 22일,14,3,15,5,,
웨더채널,11월 18일,11월 23일,15,7,14,7,,
웨더채널,11월 18일,11월 24일,14,0,17,10,,
웨더채널,11월 18일,11월 25일,7,-2,10,5,,
웨더채널,11월 19일,11월 20일,14,-1,15,2,,
웨더채널,11월 19일,11월 21일,13,1,13,1,,
웨더채널,11월 19일,11월 22일,15,4,15,5,,
웨더채널,11월 19일,11월 23일,15,7,14,7,,
웨더채널,11월 19일,11월 24일,16,2,17,10,,
웨더채널,11월 19일,11월 25일,7,-3,10,5,,
웨더채널,11월 19일,11월 26일,11,4,11,4,,
웨더채널,11월 20일,11월 21일,12,4,13,1,,
웨더채널,11월 20일,11월 22일,14,8,15,5,,
웨더채널,11월 20일,11월 23일,15,5,14,7,,
웨더채널,11월 20일,11월 24일,16,-3,17,10,,
웨더채널,11월 20일,11월 25일,7,1,10,5,,
웨더채널,11월 20일,11월 26일,9,-3,11,4,,
웨더채널,11월 20일,11월 27일,8,-1,9,3,,
웨더채널,11월 21일,11월 22일,15,4,15,5,,
웨더채널,11월 21일,11월 23일,15,9,14,7,,
웨더채널,11월 21일,11월 24일,17,6,17,10,,
웨더채널,11월 21일,11월 25일,8,-3,10,5,,
웨더채널,11월 21일,11월 26일,10,2,11,4,,
웨더채널,11월 21일,11월 27일,9,-2,9,3,,
웨더채널,11월 21일,11월 28일,7,-2,7,-1,,
웨더채널,11월 22일,11월 23일,15,9,14,7,,
웨더채널,11월 22일,11월 24일,16,6,17,10,,
웨더채널,11월 22일,11월 25일,10,-1,10,5,,
웨더채널,11월 22일,11월 26일,10,2,11,4,,
웨더채널,11월 22일,11월 27일,9,-2,9,3,,
웨더채널,11월 22일,11월 28일,8,-1,7,-1,,
웨더채널,11월 22일,11월 29일,12,1,9,0,,
웨더채널,11월 23일,11월 24일,16,6,17,10,,
웨더채널,11월 23일,11월 25일,9,-2,10,5,,
웨더채널,11월 23일,11월 26일,10,2,11,4,,
웨더채널,11월 23일,11월 27일,9,-2,9,3,,
웨더채널,11월 23일,11월 28일,8,-1,7,-1,,
웨더채널,11월 23일,11월 29일,12,2,9,0,,
웨더채널,11월 23일,11월 30일,12,-1,16,9,,
